entity,hub,out_strength
2AT,0.00011117,2
Hendersin,0.000110496,3
dark cat,0.000110478,2
Trucks Factory,0.000110474,1
Klippa,0.000110474,1
Banger,0.000109504,2
Rick Mashups,0.000109283,2
El Barto & Liam B,0.000109216,4
Z‐Trip,0.00010919,8
Daniel Saylor,0.000108273,22
J‐Kwon,0.00010814,3
Damon Dash,0.000108111,2
COPYCATT,0.000107755,6
J. Logan,0.000107535,3
Yung Sherman,0.000107425,15
Jacopo Sb,0.000107304,4
DJ JimiG,0.00010718,2
Nayt,0.000107172,10
The Living Tombstone,0.000106863,11
Evan Roth,0.000106686,17
Gynx,0.000106399,12
Flight of the Conchords,0.00010628,3
Bolt,0.000106115,8
Re-Drum,0.000106014,21
Rikin8r,0.000105563,1
BASSBABE,0.000105563,1
Smashcolor,0.000105022,5
Mega Ran,0.000104949,25
DJ Hifi Brown,0.000104717,4
Ticklish,0.000104403,8
Christian Falk,0.00010395,6
DANG!!! WOW,0.000103662,2
Soprano,0.000103617,19
J Dilla,0.000103487,28
Brat,0.000102228,4
NBGMusic,0.000101539,7
Raekwon,0.000101464,19
Kylie Minogue,0.000101302,5
Eric B. & Rakim,0.000101135,26
AmpLive,0.000100933,10
112,0.000100888,11
Sugamotor,0.000100705,8
Bynar,0.000100651,27
Ice‐T,0.000100525,35
The Noble Demon,9.92391e-05,20
Jungle Brothers,9.90862e-05,77
Utah Saints,9.8798e-05,14
Sterbinszky,9.8714e-05,5
Cropstar,9.84939e-05,2
DJ GBR,9.84898e-05,1
Trixie Mattel,9.84898e-05,1
Бригада United,9.84898e-05,1
Unwucht,9.84898e-05,1
thev216,9.82748e-05,10
42ghosts,9.82748e-05,10
Poppy Star,9.8211e-05,12
Soulwax,9.8031e-05,6
Lupe Fiasco,9.78583e-05,12
Mitski,9.74409e-05,2
Girls on Top,9.7389e-05,12
Jack Harlow,9.72618e-05,18
Big Daddy Kane,9.71648e-05,11
Hilltop Hoods,9.68037e-05,20
camoufly,9.66239e-05,21
ZVAARI,9.65223e-05,3
Dr. Dre,9.61833e-05,45
Jennifer Lopez,9.60692e-05,29
Boogie Down Productions,9.59459e-05,14
Def Squad,9.51619e-05,12
Minor Arth,9.47615e-05,5
Galactic Hole,9.46886e-05,6
exaheva,9.42553e-05,12
David Guetta,9.39897e-05,11
Steven Carvalho Mashups,9.34867e-05,2
DJ Deekline & Ed Solo,9.29894e-05,4
pomDeter,9.2858e-05,2
DJ SymBiotiX,9.2838e-05,2
Bigbadaz,9.2788e-05,3
BASSDOG,9.27148e-05,12
Flosstradamus,9.25532e-05,14
Tinie Tempah,9.21406e-05,1
Vincent Cayeux,9.1801e-05,4
Crazy Town,9.17603e-05,3
John Faulkner,9.11872e-05,14
Joey Valence & Brae,9.10922e-05,19
Anthony Vincent,9.10868e-05,7
Masta Ace Incorporated,9.07571e-05,4
Deft,9.07195e-05,8
Ashanti,9.03033e-05,8
Edelweiss,9.02565e-05,3
Ray C Mashups,8.99705e-05,2
Vienna Lusthouse,8.97455e-05,2
Christina Aguilera,8.92071e-05,10
Simon Harris,8.89936e-05,30
Venjent,8.86584e-05,5
Pop Up!,8.86348e-05,14
BRONSON,8.83747e-05,37
µThunder,8.8102e-05,14
Dreamville,8.77645e-05,12
Cool D,8.75374e-05,36
Midnight Wave,8.74054e-05,4
Modjo,8.73787e-05,10
Хлеб,8.69738e-05,1
Melissa,8.69738e-05,1
Mako,8.69738e-05,1
Afrojack,8.69738e-05,1
omgrino,8.69738e-05,1
Memphis Bleek,8.67859e-05,11
Trent Reznor,8.67832e-05,3
CHOCO CHESHIRE,8.66474e-05,3
Aaliyah,8.66189e-05,10
Megan Thee Stallion,8.64876e-05,20
wait what,8.64066e-05,22
"Letni, chamski podryw",8.64025e-05,4
MC Lyte,8.62916e-05,5
Spacemonkeyz,8.62379e-05,2
Murs,8.61938e-05,15
Professional Hairdresser,8.61772e-05,203
Rob,8.59392e-05,1
CSR Superstars,8.59392e-05,1
Chiddy Bang,8.58346e-05,4
Estelle,8.58153e-05,4
DJ Screw,8.56906e-05,12
Mazanga Von Badman,8.54079e-05,5
mondai1112,8.51604e-05,7
Shahar Varshal,8.48585e-05,2
DJ Nate Ro,8.47236e-05,1
Enygma,8.46974e-05,2
XANAKIN SKYWOK,8.46938e-05,1
odaxelagnia,8.43986e-05,3
SAINT PEPSI,8.436e-05,20
MarinMashup,8.43498e-05,2
KMD,8.38539e-05,117
Kwezydoctor,8.35053e-05,5
TLC,8.32848e-05,24
Celldweller,8.29368e-05,9
Benjamin Drury,8.27608e-05,9
Sunryze,8.25668e-05,13
svantana,8.25646e-05,2
Pro>Tech,8.24392e-05,11
SWV,8.23848e-05,5
FreshNerd,8.21539e-05,12
Scanty Sandwich,8.19023e-05,2
Frenchbloke & Son,8.18933e-05,4
The Album Leaf,8.17105e-05,6
Gene Farris,8.16303e-05,5
Jeff Mills,8.15348e-05,4
Baby Bumps,8.15347e-05,2
Koopa Troopa,8.15164e-05,1
Invandra,8.15164e-05,1
Brazooka Squad,8.15164e-05,1
Haywyre,8.15164e-05,1
Paul McCartney,8.15164e-05,1
John Thomas,8.15164e-05,1
Hervé,8.15164e-05,1
Dancer,8.15164e-05,1
Benny Benassi,8.15164e-05,1
KGB Man,8.15164e-05,1
Rag’n’Bone Man,8.0829e-05,7
BTK,8.07885e-05,2
Jay-R,8.07371e-05,9
Trashcan Jack,8.04133e-05,18
Trinity House Music,8.04073e-05,2
Tatsunoshin,8.00978e-05,3
Billy Raffoul,8.00844e-05,1
Cryptrik,7.98829e-05,5
UNKLE,7.96782e-05,79
DJSleepyHooves,7.9667e-05,7
Gaszia,7.96063e-05,12
TheHeroOfMobius,7.94801e-05,5
DJ Vlad,7.93072e-05,2
Taylor Swift,7.90334e-05,2
