source_track,times_sampled_by_brazil
Zerb — Addicted (extended mix) (2024) [Brazil],1
Mustard — Ballin’ (2019) [United States],1
Bebel Gilberto — Mais feliz (2000) [Brazil],1
Cement Tea — Fantasy Mode (2020) [Brazil],1
Alibi — The Hornet (2016) [Brazil],1
Anitta — Me gusta (2020) [Brazil],1
Los Hermanos — Anna Júlia (1999) [Brazil],1
GUSTAVOEGATOTV — Pista 3.0 (2022) [Brazil],1
Lucas Santtana — Ninguém solta a mão de ninguém (2019) [Brazil],1
Burn in Noise — Vuuv Festival Celebration (2012) [Brazil],1
Maísa Silva — Nhenhenhem (2014) [Brazil],1
Lucas Santtana — Tática de machine (2003) [Brazil],1
Anitta — Me Gusta (remix) (2020) [Brazil],1
DJ Chap — Don’t Wait for Me (2013) [Brazil],1
GUSTAVOEGATOTV — Meu Primeiro Phonk (2023) [Brazil],1
bricklander — Living in a Browser (2023) [Argentina],1
Alok — Tell Me Why (2019) [Brazil],1
Anitta — Fria (2024) [Brazil],1
João Neto & Frederico — Clichê (2013) [Brazil],1
The J.B.’s — Transmograpfication (1975) [United States],1
"The J.B.’s — Givin' Up Food for Funk, Part 1 (1972) [United States]",1
Bebel Gilberto — Bananeira (2000) [Brazil],1
Cement Tea — The Pit (2020) [Brazil],1
Sérgio Mendes & Brasil ’66 — Slow Hot Wind (1966) [Brazil],1
DENNIS — Tá OK (2023) [Brazil],1
Alok — Wherever You Go (extended mix) (2022) [Brazil],1
Gabriel o Pensador — Brazuca (1998) [Brazil],1
Flavia Coelho — O que sou (2010) [Brazil],1
Burn in Noise — Beyond Known Space (2014) [Brazil],1
Altruism — Endless Smile (2019) [Brazil],1
Pabllo Vittar — Open Bar (2015) [Brazil],1
Barbatuques — Kererê (2015) [Brazil],1
Flavia Coelho — Vem Chamegar (2019) [Brazil],1
Jim Jones — The Jonestown Death Tape (1978) [United States],1
Amon Tobin — Hokkaido (2005) [Brazil],1
KIBI — Dream (2024) [Brazil],1
"Ricardo Donoso — Open Drawer, Full of Masks (2013) [Brazil]",1
Anitta — Girl From Rio (2021) [Brazil],1
Amon Tobin — Journeyman (2011) [Brazil],1
Urbandawn — Warp Drive (2015) [Brazil],1
