entity,pagerank_rev,out_strength
Virtual Riot,8.52216e-05,20
Starless Zenith,8.51987e-05,1
Talib Kweli,8.50259e-05,17
Michy Reincke,8.49037e-05,4
Maverick Mayhem,8.47851e-05,10
Framewerk,8.47396e-05,10
The Orb,8.47188e-05,16
Scissor Sisters,8.44988e-05,1
Pluffaduff,8.42735e-05,26
CLXCKWXRK,8.42712e-05,1
Nelly Furtado,8.41858e-05,11
Lewis Wake,8.40319e-05,24
MAX,8.39916e-05,6
Fred again..,8.39222e-05,5
Feed Me,8.38468e-05,10
Mary J. Blige,8.37684e-05,20
Big L,8.36138e-05,20
six impala,8.36089e-05,13
Winno,8.35053e-05,6
Golden Astrobe,8.35053e-05,6
Liquid Ace,8.34419e-05,2
POST ELVIS,8.33002e-05,13
AC Slater,8.31861e-05,9
Norwegian Recycling,8.28237e-05,15
Panchiko,8.26941e-05,17
Big Shug,8.26464e-05,15
Ethel Cain,8.25378e-05,6
MC Offside,8.2367e-05,8
Somasis,8.22138e-05,6
PandaBoY,8.21268e-05,16
¥$,8.19896e-05,11
RAYE,8.18828e-05,7
Fighter X,8.18188e-05,6
Greg Wilson,8.1737e-05,12
一ノ瀬志希,8.15866e-05,1
Pleaser,8.14197e-05,6
dvsn,8.138e-05,12
Pianoman,8.10649e-05,11
LOUD,8.10164e-05,1
Moose‐Mouse,8.09288e-05,11
daisyxkneesocks,8.08313e-05,4
Various Production,8.07666e-05,9
Dirty Projectors,8.05886e-05,1
Robscure,8.05886e-05,1
John Faulkner,8.05536e-05,14
James Gameboy,8.04287e-05,40
µThunder,8.03875e-05,14
Infected Mushroom,8.03769e-05,6
B-EAST,8.03769e-05,7
Azad,8.02317e-05,8
Chee,8.02173e-05,9
堕悪祭怪,8.01815e-05,10
Mwano,8.00348e-05,7
Ace Ventura,8.0026e-05,3
Aviators,7.99698e-05,13
Ｓｐａｔｉａｌ Ｍａｎｕｆａｃｔｕｒｅ Ｌｔｄ.,7.98946e-05,4
Lil Jon & The East Side Boyz,7.98018e-05,16
Vylet Pony,7.97773e-05,5
100 gecs,7.97458e-05,23
Brian Ice,7.97201e-05,14
Jade Zoe,7.96546e-05,10
Mathematicus,7.94533e-05,4
Faithless,7.94331e-05,22
bearface.,7.94236e-05,1
Chumbawamba,7.93625e-05,14
Modeselektor,7.93341e-05,9
Pop Will Eat Itself,7.92725e-05,14
DJ Fuzz,7.92654e-05,12
Madonna,7.92428e-05,26
Madvillain,7.92405e-05,9
OutKast,7.91628e-05,21
t e l e p a t h テレパシー能力者,7.90477e-05,7
Noisia,7.90288e-05,6
Jem,7.87882e-05,6
Philip Glass,7.87084e-05,13
Youandewan,7.86434e-05,1
青ウニ,7.85271e-05,5
Nick Holder,7.85213e-05,13
Blood Orange,7.8519e-05,9
Xzibit,7.84856e-05,16
Shakira,7.81288e-05,2
シイナフユキ,7.78815e-05,4
Cloud 9,7.78713e-05,2
Wallace Robert Holt,7.7351e-05,32
Coldplay,7.72588e-05,11
Dogma 3000,7.72485e-05,7
Lampje4life,7.72485e-05,5
Hugo Kant,7.72485e-05,5
The Shanghai Restoration Project,7.72485e-05,5
Dan Macy,7.72485e-05,5
Dj As-One,7.72485e-05,5
JID,7.706e-05,9
KDD,7.70038e-05,8
Denzel Curry,7.69704e-05,8
Nicki Minaj,7.69089e-05,33
Mt Eden,7.69043e-05,11
Games,7.67572e-05,11
P.M. Dawn,7.66826e-05,19
Wu‐Tang Clan,7.65391e-05,25
MonsterZ MATE,7.64978e-05,1
#kzn,7.64978e-05,1
yosumi,7.64978e-05,1
速水奏,7.64952e-05,2
Mono-Amine,7.64952e-05,2
Melo Anon,7.64952e-05,3
The Deadman,7.64417e-05,1
Coil,7.62149e-05,20
ProleteR,7.61626e-05,8
Chuck Person,7.61387e-05,22
A.M.M.T.,7.57814e-05,4
Cannibal Ox,7.5742e-05,16
Josip On Deck,7.56721e-05,10
Gescom,7.56372e-05,8
Mefjus,7.55435e-05,5
Quixotic,7.55257e-05,1
Masta Ace,7.55248e-05,10
Duality,7.54901e-05,19
Ancora,7.52523e-05,13
sasakure.UK,7.5204e-05,3
Monali Thakur,7.51992e-05,2
Gorillaz,7.51629e-05,6
will.i.am,7.51505e-05,9
ElectroSound,7.50948e-05,14
The Noble Demon,7.50609e-05,20
Jowell & Randy,7.49125e-05,5
Stephen Walking,7.47913e-05,5
The Weeknd,7.47762e-05,16
Ph0ton,7.47588e-05,33
Yung Sherman,7.47578e-05,15
Pitbull,7.47229e-05,8
Laryssa Okada,7.44069e-05,4
William Singe,7.4398e-05,18
PinkPantheress,7.43708e-05,13
Neelix,7.43646e-05,5
Big Daddy Kane,7.42712e-05,11
E‐40,7.41239e-05,4
Amateras Records,7.40934e-05,10
MadMixMustang,7.40857e-05,29
oneboredjeu,7.40291e-05,29
Keiko Dash,7.39616e-05,2
