brazilian_source_track,times_sampled_total,by_brazil,by_foreign
Racionais MC’s — Tempos difíceis (1990) [Brazil],1,1,0
Vintage Culture — If I Live Forever (2023) [Brazil],1,1,0
Gustavo Rique — Pathfinder (2021) [Brazil],1,1,0
Jaloo — Insight (2014) [Brazil],1,1,0
DJ MAMAMIA ROLA — MTG6 - LIKE A G6 ( VERSÃO AMERICANA ) (2023) [Brazil],1,1,0
Vintage Culture — Monday (2017) [Brazil],1,1,0
Tough Art — Keep Moving (extended mix) (2024) [Brazil],1,1,0
Jorge Ben Jor — Frases (1967) [Brazil],1,1,0
Jorge Ben Jor — Domingas (1969) [Brazil],1,1,0
Funk Buia — Respeito máximo (2013) [Brazil],1,1,0
L‐Side — Riddim Dancer (2016) [Brazil],1,1,0
DJ Chap — Let Me Love You (Random Movement remix) (2016) [Brazil],1,1,0
Unreal — Just One Night (2016) [Brazil],1,1,0
L‐Side — Dreadlocks (2016) [Brazil],1,1,0
L‐Side — So High VIP (2016) [Brazil],1,1,0
Alibi — Aftermath (2016) [Brazil],1,1,0
André Sobota — Descend (2019) [Brazil],1,1,0
MixHell — Highly Explicit (Brodinski remix) (2009) [Brazil],1,1,0
MixHell — Sore Throat Break (2007) [Brazil],1,1,0
Racionais MC’s — V.L. (parte I) (2002) [Brazil],1,1,0
Amon Tobin — Wooden Toy (2011) [Brazil],1,1,0
Renato Cohen — Morse Song (2018) [Brazil],1,1,0
Natur — There Will Be No Tears (2021) [Brazil],1,1,0
GUSTAVOEGATOTV — Trapinha (2020) [Brazil],1,1,0
HNQO — Brown Eyes (2023) [Brazil],1,1,0
Léo Leobons — Obá ibo (2018) [Brazil],1,1,0
Alibi — Shurikan (2019) [Brazil],1,1,0
Burn in Noise — Ozzo (2007) [Brazil],1,1,0
Dream Team do Passinho — Pra querer (2015) [Brazil],1,1,0
Angra — Angels Cry (1993) [Brazil],1,1,0
Elekfantz — Work It Out (2018) [Brazil],1,1,0
Flavia Coelho — Canta comigo (2010) [Brazil],1,1,0
Cement Tea — Delicious Rotting Pulsating Cookie (2020) [Brazil],1,1,0
Edilene Gomes — Sinta Ele Aí (2023) [Brazil],1,1,0
MC Fioti — Bum bum tam tam (David Guetta remix) (2018) [Brazil],1,1,0
Level 2 — Red Notes (2013) [Brazil],1,1,0
Gabriel Alonso — Storm (2016) [Brazil],1,1,0
Burn in Noise — Image of Yourself (2014) [Brazil],1,1,0
Alibi — Inception (2018) [Brazil],1,1,0
Guilherme & Benuto — 3 Batidas (2019) [Brazil],1,1,0
Unreal — Enduro (2016) [Brazil],1,1,0
Amon Tobin — The Lighthouse (2005) [Brazil],1,1,0
Pabllo Vittar — K.O. (2017) [Brazil],1,1,0
MC Mayara — Ai como eu tô bandida (2022) [Brazil],1,1,0
Darth & Vader — Power Trip (Scoon & Delore mix) (2013) [Brazil],1,1,0
Bungle — Looking Back (2015) [Brazil],1,1,0
Jaloo — Odoiá (In Your Eyes) (2014) [Brazil],1,1,0
