corridor_deriv_draws_from_source,weight
post-rock → ambient,13
trap edm → dance,13
east coast hip hop → disco,13
uk garage → electronic,13
lolicore → k-pop,13
lolicore → j-pop,13
future bass → deep house,13
dark wave → coldwave,13
christian hip hop → pop rock,13
garage rock → punk,13
glitch hop → electronic,13
sound collage → alternative rock,13
barber beats → jazz,13
hyperpop → pop,13
dream pop → electronic,13
future house → dance-pop,13
trip hop → hip hop,13
country rock → rock,13
tropical house → pop,13
ambient → electronica,12
ambient → dubstep,12
ambient → trance,12
ambient → chiptune,12
electronic → midtempo bass,12
electronic → big band,12
electronic → death metal,12
electronic → abstract hip hop,12
electronic → boogie,12
electronic → neurofunk,12
electronic → jungle,12
electronic → punk rock,12
electronic → city pop,12
electronic → metalcore,12
electronic → black metal,12
electronic → idol kayō,12
rock → jazz,12
drum and bass → downtempo,12
drum and bass → complextro,12
blues → contemporary r&b,12
pop → alternative r&b,12
pop → hyperpop,12
pop → gangsta rap,12
disco → dance-pop,12
house → new wave,12
electro → punk,12
electro → contemporary r&b,12
j-pop → trance,12
dance → melodic dubstep,12
dance → indie rock,12
breaks → rock,12
breaks → big beat,12
club → hip hop,12
electro house → alternative rock,12
electro house → hip hop,12
dubstep → acid jazz,12
new wave → alternative rock,12
country → classic rock,12
country → rock and roll,12
k-pop → contemporary r&b,12
progressive house → electropop,12
progressive house → ambient house,12
contemporary r&b → ballad,12
soul → hip hop,12
soul → blues,12
dance-pop → europop,12
dance-pop → electro,12
breakcore → punk,12
breakcore → dance,12
latin → bachata,12
latin → electronic,12
ballad → pop rock,12
ballad → gospel,12
electronica → dubstep,12
trance → electronica,12
trance → rock,12
folk → pop,12
downtempo → acoustic rock,12
downtempo → indie rock,12
heavy metal → thrash metal,12
coldwave → dark wave,12
g-funk → soul,12
synth-pop → new wave,12
pop rap → soul,12
boom bap → soul,12
boom bap → instrumental,12
boom bap → ambient,12
boom bap → funk,12
broken beat → jazz,12
breakbeat → breakcore,12
christmas music → pop,12
punk → alternative rock,12
acid techno → electronic,12
indie pop → dance-pop,12
lolicore → electronic,12
chillwave → hip hop,12
electronic rock → drum and bass,12
electronic rock → electro,12
conscious hip hop → funk,12
dariacore → contemporary r&b,12
europop → schlager,12
avant-garde → rock,12
italo-disco → electronic,12
drumstep → brostep,12
singer-songwriter → pop,12
glitch → classical,12
sound collage → math rock,12
synthwave → synth-pop,12
indie folk → indie rock,12
jazz rock → jazz,12
barber beats → downtempo,12
barber beats → chillwave,12
dream pop → indie rock,12
modern classical → classical,12
speedcore → electronic,12
cool jazz → contemporary folk,12
glam → hard rock,12
ambient → alternative pop,11
ambient → instrumental,11
electronic → ambient pop,11
electronic → cumbia,11
electronic → deconstructed club,11
electronic → festival progressive house,11
electronic → emo,11
electronic → thrash metal,11
electronic → garage rock,11
hip hop → experimental,11
hip hop → motown,11
hip hop → hard bop,11
hip hop → neo soul,11
hip hop → free jazz,11
hip hop → alternative r&b,11
rock → gothic metal,11
rock → progressive metal,11
drum and bass → liquid funk,11
drum and bass → breaks,11
drum and bass → jungle,11
drum and bass → barber beats,11
pop → dancehall,11
pop → art pop,11
house → alternative rock,11
experimental → jazz,11
experimental → hard rock,11
electro → alternative metal,11
electro → dance-pop,11
electropop → house,11
j-pop → house,11
dance → trap,11
dance → synthwave,11
dance → dancehall,11
dance → alternative r&b,11
breaks → ambient,11
breaks → j-pop,11
r&b → electronic,11
r&b → blues,11
edm → new age,11
edm → big room house,11
edm → deep house,11
edm → tech house,11
club → electro,11
electro house → synth-pop,11
classical → ambient,11
neue deutsche welle → new wave,11
country → bluegrass,11
bass house → bassline,11
dub → dubstep,11
progressive house → ambient,11
contemporary r&b → jazz,11
comedy → chiptune,11
alternative rock → contemporary r&b,11
alternative rock → electro,11
funk → reggae,11
classic rock → psychedelic rock,11
classic rock → blues,11
dance-pop → disco,11
dance-pop → r&b,11
dance-pop → indie pop,11
breakcore → speedcore,11
trance → electro house,11
trance → psytrance,11
folk → celtic,11
art rock → new wave,11
art rock → alternative rock,11
trap → dubstep,11
psychedelic rock → progressive rock,11
breakbeat → electronica,11
uk hardcore → dance,11
indie pop → synth-pop,11
progressive trance → downtempo,11
acid jazz → breakbeat,11
future bass → pop,11
bebop → jazz,11
acid rock → psychedelic rock,11
neurofunk → electronic,11
plunderphonics → house,11
balearic beat → electronic,11
